Project,Baseline,Type,Requirement,ID,Version,Hierarchy #,Description,Status,Priority,Owner,Owner (First Name),Owner (Last Name),Created By,Responsible,Created On,Sponsor Name,Source,Notes,SH Reason why,SH Comment,SH_BD Action,Due Date,SH_BD Due Date,Launch Priority,SH Product cost impacts,SH Schedule impacts,SH Risk impacts,SH Project cost impacts,SH Concept Impacts,Funded,Funding Approved,Management Approval,Compliance Approval,SH Safety Related,SH Stakeholders,Concerned Product,SH Allocation,SH Wave,SY Skill Allocation,SY Package Release,SY Model Type,SY Cabinet Type
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Status of bypass backfeed contactor/breaker,40216,4,6.6.4.3,The current status (open/closed) of the bypass backfeed contactor/breaker must be available to the user in the event log.,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/15/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Status of bypass backfeed breaker in power flow and mimic diagram,41338,3,6.6.4.4,"The current status (open/closed) of the bypass backfeed breaker, if present, must be shown in the power flow and mimic diagram (display and UPS Tuner) like other breakers in the system.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,9/10/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),User must be able to disable bypass backfeed protection,41304,7,6.6.4.6,"It must be possible for the user to disable bypass backfeed protection via UPS Tuner in the case it is not installed.Bypass backfeed protection must be enabled by default and the user must be made aware of, and agree to, the risk of disabling bypass backfeed protection (confirmation needed by the user in UPS Tuner).When bypass backfeed protection is disabled no alarms must be shown from the status monitoring of the bypass backfeed breaker.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,8/23/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Combined SSIB or UIB and bypass backfeed breaker must be supported,41625,3,6.6.4.7,The UPS must support a setup where the bypass backfeed breaker is either combined with SSIB or UIB. The power flow and mimic diagram must not show a separate bypass backfeed breaker in this case.,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,9/26/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Settings and commands,41305,2.1,6.6.4.8,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,8/23/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection setting,41306,9,6.6.4.8.1,"Setting to disable the bypass backfeed protection.Possible values:Bypass backfeed breaker not present,Separate bypass backfeed breaker,Combined UIB and bypass backfeed breaker,Combined SSIB and bypass backfeed breaker. Default value:Separate bypass backfeed breaker",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,8/23/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Events and alarms,40219,1.1,6.6.4.9,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,5/15/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection - setting changed,41307,6.1,6.6.4.9.1,Type: EventSeverity: InformationalCorrective Action Text: NADescription: Bypass backfeed protection - setting has been changed,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,8/23/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker,40683,1.2,6.6.4.9.2,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection trip activated,40684,3.2,6.6.4.9.2.1.1,Type: EventSeverity: InformationalCorrective Action Text: NADescription: The bypass backfeed protection trip has been activated.,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,"R&D,Services",,,,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection trip de-activated,40685,4.2,6.6.4.9.2.1.2,Type: EventSeverity: InformationalCorrective Action Text: NADescription: The bypass backfeed protection trip has been de-activated,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,"R&D,Services",,,,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker open,40686,5,6.6.4.9.2.3,Type: AlarmSeverity: WarningCorrective Action Text: NADescription: Bypass backfeed breaker is open,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker closed,40687,5,6.6.4.9.2.4,Type: EventSeverity: InformationalCorrective Action Text: NADescription: Bypass backfeed breaker is closed,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker trip status,41312,1.2,6.6.4.9.2.5,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,8/23/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker trip OK,40696,4.1,6.6.4.9.2.5.1,Type: EventSeverity: InformationalCorrective Action Text: NADescription: The bypass backfeed breaker trip is working correctly,Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker did not trip correctly,40697,3.1,6.6.4.9.2.5.2,"Type: AlarmSeverity: CriticalCorrective Action Text: Check bypass backfeed breaker trip circuitDescription: Bypass backfeed breaker was tripped but AUX contact reports status as closed, and a voltage is measured between the bypass backfeed breaker and the static bypass switch thyristors.",Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker status indication is not working correctly,40698,3.1,6.6.4.9.2.5.3,"Type: AlarmSeverity: CriticalCorrective Action Text: Check bypass backfeed breaker AUX contact and wiringDescription: Bypass backfeed breaker was tripped but AUX contact reports status as closed, and no voltage is measured between the bypass backfeed breaker and the static bypass switch thyristors.",Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker did not trip correctly or status indication is not working correctly,40699,3.1,6.6.4.9.2.5.4,"Type: AlarmSeverity: CriticalCorrective Action Text: Check bypass backfeed breaker trip circuit, and AUX contact and wiringDescription: Bypass backfeed breaker was tripped and AUX contact reports status as open, but a voltage is measured between the bypass backfeed breaker and the static bypass switch thyristors.",Implemented,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Measurements and status,40681,1.2,6.6.4.10,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed breaker status,40682,3,6.6.4.10.1,Status of the bypass backfeed breaker.Possible values: Open/closed,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed protection test,40688,3,6.6.4.11,The UPS must include a function for the user to manually test that the bypass backfeed protection is working correctly.,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),User command to manually trip bypass backfeed breaker,40689,3,6.6.4.11.1,A command to manually trip the bypass backfeed breaker must be available in UPS Tuner,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Preconditions for being able to manually test bypass backfeed protection,40690,3,6.6.4.11.2,"To be able to perform a manual trip of the bypass backfeed breaker, the following preconditions must be fulfilled:- Bypass backfeed breaker is activated (on).- Bypass input voltage is within tolerance.- UPS is in normal operation.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Test procedure of bypass backfeed protection,40691,5,6.6.4.11.3,"- When UPS is in normal operation and the bypass backfeed breaker is closed, the user must command the bypass backfeed breaker to trip via UPS Tuner. - The UPS must send a bypass trip signal to the bypass backfeed breaker. - The UPS must check the voltage measured at the point between the bypass backfeed breaker and the static bypass switch thyristors, and the status reported by the AUX switch on the bypass backfeed breaker.",Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Settings and commands,40692,1.1,6.6.4.11.4,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Bypass backfeed manual trip command,40693,3,6.6.4.11.4.1,Command to manually trip the bypass backfeed breaker via UPS Tuner,Approved,Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
Charlie,Current Baseline,2. Stakeholder Requirements (WHAT),Events and alarms,40694,1.1,6.6.4.11.5,,[Category],Must / Vital,Jesper Johnsen,Jesper,Johnsen,Jesper Johnsen,,6/7/2019,   --- N/A ---,   --- N/A ---,   --- N/A ---,,,,   --- N/A ---,6/28/2012,   --- N/A ---,To Be Defined,To Be Defined,To be defined,To be defined,TBD,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---,FALSE,Marketing,,,W1,   --- N/A ---,   --- N/A ---,   --- N/A ---,   --- N/A ---
